Time 0-WAE-0 0-WAE-1 0-WAE-2 0-WAE-3 0-WAE-4 0-WAE-5 0-WAE-6 0-WAE-7 0-YPH-0 0-YPH-1 0-YPH-2 0-YPH-3 0-YPH-4 0-YPH-5 0-YPH-6 0-GZS-0 0-GZS-1 0-GZS-2 0-GZS-3 0-GZS-4 0-RDG-0 0-RDG-1 0-RDG-2 0-RDG-3 0-RDG-4 0-DRE-0 0-CHI-0 0-DIA-0 0-GRN-0 0-CAL-0 0-ROT-0 0-PB-0 0-BB-0 0-DL-0 0-DR-0 0-DC-0
0.000000e+00 2.667257e+02 3.653450e+02 3.687987e+02 2.961574e+02 2.349015e+02 1.794601e+02 1.344540e+02 9.453505e+01 3.008653e+02 4.426823e+02 4.417328e+02 3.762440e+02 3.038917e+02 2.332620e+02 1.818416e+02 3.273206e+02 1.631935e+03 1.653803e+03 1.404219e+03 1.032288e+03 5.392889e+00 1.459414e+01 7.140838e+00 4.982212e+00 2.173184e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e+00 2.744188e+02 3.707516e+02 3.703692e+02 2.972629e+02 2.357607e+02 1.800261e+02 1.347034e+02 9.470946e+01 3.099633e+02 4.465313e+02 4.453718e+02 3.786530e+02 3.053449e+02 2.344786e+02 1.822031e+02 3.753215e+02 1.652559e+03 1.666247e+03 1.408972e+03 1.034641e+03 5.611229e+00 1.524533e+01 7.189794e+00 4.973967e+00 2.170895e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+01 2.823517e+02 3.762456e+02 3.719713e+02 2.983906e+02 2.366286e+02 1.805975e+02 1.349545e+02 9.488500e+01 3.193735e+02 4.504330e+02 4.490464e+02 3.810816e+02 3.068074e+02 2.357041e+02 1.825657e+02 4.310316e+02 1.671179e+03 1.677670e+03 1.413509e+03 1.036914e+03 5.838520e+00 1.592553e+01 7.203925e+00 4.960719e+00 2.165660e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.500000e+01 2.905198e+02 3.818316e+02 3.736068e+02 2.995417e+02 2.375054e+02 1.811746e+02 1.352073e+02 9.506057e+01 3.290948e+02 4.544022e+02 4.527512e+02 3.835258e+02 3.082769e+02 2.369360e+02 1.829290e+02 4.950370e+02 1.690023e+03 1.689168e+03 1.418059e+03 1.039193e+03 6.075388e+00 1.663697e+01 7.215824e+00 4.946809e+00 2.160090e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000e+01 2.989308e+02 3.875052e+02 3.752773e+02 3.007174e+02 2.383914e+02 1.817576e+02 1.354618e+02 9.523690e+01 3.391398e+02 4.584434e+02 4.564864e+02 3.859855e+02 3.097533e+02 2.381743e+02 1.832929e+02 5.685725e+02 1.709103e+03 1.700741e+03 1.422624e+03 1.041476e+03 6.322353e+00 1.738148e+01 7.228389e+00 4.933390e+00 2.154732e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.500000e+01 3.075807e+02 3.932631e+02 3.769845e+02 3.019191e+02 2.392445e+02 1.823468e+02 1.357182e+02 9.541455e+01 3.494989e+02 4.625296e+02 4.602523e+02 3.884609e+02 3.112368e+02 2.394189e+02 1.836577e+02 6.531944e+02 1.728617e+03 1.712391e+03 1.427202e+03 1.043764e+03 6.579464e+00 1.815956e+01 7.241264e+00 4.920203e+00 2.149473e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 3.164651e+02 3.991067e+02 3.787298e+02 3.031480e+02 2.400124e+02 1.829425e+02 1.359764e+02 9.559358e+01 3.601563e+02 4.666280e+02 4.640491e+02 3.909520e+02 3.127272e+02 2.406700e+02 1.840231e+02 7.504365e+02 1.748829e+03 1.724119e+03 1.431795e+03 1.046057e+03 6.846650e+00 1.897135e+01 7.253928e+00 4.906891e+00 2.144156e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.500000e+01 3.256164e+02 4.050374e+02 3.805149e+02 3.044055e+02 2.407976e+02 1.835449e+02 1.362366e+02 9.577403e+01 3.711795e+02 4.708138e+02 4.678770e+02 3.934590e+02 3.142248e+02 2.419276e+02 1.843892e+02 8.622230e+02 1.769291e+03 1.735924e+03 1.436402e+03 1.048354e+03 7.125429e+00 1.982143e+01 7.267534e+00 4.894235e+00 2.139124e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e+01 3.351000e+02 4.110564e+02 3.823411e+02 3.056813e+02 2.416009e+02 1.841543e+02 1.364988e+02 9.595596e+01 3.825773e+02 4.750826e+02 4.717363e+02 3.959819e+02 3.157294e+02 2.431916e+02 1.847561e+02 9.907248e+02 1.790008e+03 1.747806e+03 1.441023e+03 1.050657e+03 7.416238e+00 2.071150e+01 7.282002e+00 4.882171e+00 2.134348e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e+01 3.449545e+02 4.171651e+02 3.842095e+02 3.069720e+02 2.424230e+02 1.847710e+02 1.367631e+02 9.613941e+01 3.943625e+02 4.794346e+02 4.756273e+02 3.985208e+02 3.172412e+02 2.444622e+02 1.851236e+02 1.138446e+03 1.810984e+03 1.759767e+03 1.445659e+03 1.052964e+03 7.719602e+00 2.164339e+01 7.297326e+00 4.870688e+00 2.129824e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
