Time WAE YPH GZS RDG DRE CHI DIA GRN CAL ROT PB BB DL DR DC DIN RelWAE RelYPH RelGZS RelRDG RelDRE RelCHI RelDIA RelGRN RelCAL RelROT RelPB RelBB RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 1940.377312 2280.519779 6049.565841 34.283263 5390.355749 119.491329 48600.000014 38999.999993 348979.651596 33503.714515 342.000000 0.000000 342.000000 0.000000 353.400000 119700.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 571.461086 0.000000
5.000000e+00 1958.002197 2302.546035 6137.740380 35.191213 5372.066946 118.588702 45.419480 36.865125 419118.985089 40700.644779 14.883624 0.586696 680.387913 176.019558 2.164992 139376.926121 1.009083 1.009658 1.014575 1.026484 0.996607 0.992446 0.000935 0.000945 1.200984 1.214810 0.043519 1.000000 1.989438 1.000000 0.006126 1.164385 98.623697 0.479958 12.000000 0.000000 576.472946 0.000000
1.000000e+01 1976.024795 2325.011720 6230.303767 36.094351 5353.935571 117.677209 8.550000 8.550000 419287.245100 40743.882300 8.550000 1.200909 707.874952 204.926891 0.000000 141603.235999 1.018371 1.019510 1.029876 1.052827 0.993243 0.984818 0.000176 0.000219 1.201466 1.216100 0.025000 1.000000 2.069810 1.000000 0.000000 1.182984 97.379451 0.482565 12.000000 0.000000 581.605487 0.000000
1.500000e+01 1994.447712 2347.915855 6331.479476 37.035083 5335.844788 116.735383 8.550000 8.550000 418831.869576 40718.789135 8.550000 2.395840 713.115493 221.213213 0.000000 143313.528266 1.027866 1.029553 1.046601 1.080267 0.989887 0.976936 0.000176 0.000219 1.200161 1.215351 0.025000 1.000000 2.085133 1.000000 0.000000 1.197273 96.187687 0.485681 10.000000 0.000000 586.846775 0.000000
2.000000e+01 2013.278473 2371.275650 6442.515788 38.020348 5317.796375 115.758797 8.550000 8.550000 418343.098177 40690.277658 8.550000 4.648952 715.603737 237.560042 0.000000 145014.559701 1.037571 1.039796 1.064955 1.109006 0.986539 0.968763 0.000176 0.000219 1.198761 1.214500 0.025000 1.000000 2.092409 1.000000 0.000000 1.211483 95.037016 0.489382 10.000000 0.000000 592.196987 0.000000
2.500000e+01 2032.471431 2395.055016 6565.169161 39.049961 5299.789730 114.741888 8.550000 8.550000 417833.270741 40659.754875 8.550000 8.634734 714.660120 254.076161 0.000000 146721.179608 1.047462 1.050223 1.085230 1.139039 0.983199 0.960253 0.000176 0.000219 1.197300 1.213589 0.025000 1.000000 2.089649 1.000000 0.000000 1.225741 93.940350 0.493781 10.000000 0.000000 597.642492 0.000000
3.000000e+01 2051.974613 2419.205800 6701.235772 40.122973 5281.823828 113.678673 8.550000 8.550000 417299.751439 40626.968183 8.550000 14.952682 709.129047 270.824714 0.000000 148435.442951 1.057513 1.060813 1.107722 1.170337 0.979866 0.951355 0.000176 0.000219 1.195771 1.212611 0.025000 1.000000 2.073477 1.000000 0.000000 1.240062 92.917942 0.499016 12.000000 0.000000 603.167993 0.000000
3.500000e+01 2071.927325 2443.870863 6852.193999 41.247756 5263.898412 112.562432 8.550000 8.550000 416739.231538 40591.594867 8.550000 23.531292 699.165782 287.771303 0.000000 150159.210835 1.067796 1.071629 1.132675 1.203146 0.976540 0.942013 0.000176 0.000219 1.194165 1.211555 0.025000 1.000000 2.044344 1.000000 0.000000 1.254463 91.960358 0.505129 10.000000 0.000000 608.812745 0.000000
4.000000e+01 2092.388600 2469.055115 7020.219294 42.426262 5246.012522 111.385645 8.550000 8.550000 416147.830672 40553.255543 8.550000 33.288641 686.909629 304.756092 0.000000 151894.424198 1.078341 1.082672 1.160450 1.237521 0.973222 0.932165 0.000176 0.000219 1.192470 1.210411 0.025000 1.000000 2.008508 1.000000 0.000000 1.268959 91.078763 0.512239 10.000000 0.000000 614.593862 0.000000
4.500000e+01 2113.397522 2494.772168 7207.819690 43.660833 5228.165140 110.140220 8.550000 8.550000 415521.094291 40511.514361 8.550000 42.770668 675.220329 321.594453 0.000000 153642.612604 1.089168 1.093949 1.191461 1.273532 0.969911 0.921742 0.000176 0.000219 1.190674 1.209165 0.025000 1.000000 1.974328 1.000000 0.000000 1.283564 90.285580 0.520485 10.000000 0.000000 620.522359 0.000000
5.000000e+01 2134.899866 2521.064246 7418.023230 44.955417 5210.355238 108.817196 8.550000 8.550000 414853.825519 40465.862647 8.550000 51.057818 665.898365 338.203560 0.000000 155405.846163 1.100250 1.105478 1.226208 1.311293 0.966607 0.910670 0.000176 0.000219 1.188762 1.207802 0.025000 1.000000 1.947071 1.000000 0.000000 1.298294 89.590073 0.530039 10.000000 0.000000 626.580794 0.000000
5.500000e+01 2156.906896 2547.949307 7654.377064 46.312907 5192.581597 107.406477 8.550000 8.550000 414139.989829 40415.710012 8.550000 57.930086 659.371472 354.691594 0.000000 157187.242061 1.111591 1.117267 1.265277 1.350890 0.963310 0.898864 0.000176 0.000219 1.186717 1.206305 0.025000 1.000000 1.927987 1.000000 0.000000 1.313177 89.007172 0.541104 10.000000 0.000000 632.771679 0.000000
6.000000e+01 2179.434543 2575.453093 7920.541078 47.736551 5174.842865 105.897398 8.550000 8.550000 413373.050662 40360.416818 8.550000 63.544305 655.332947 371.249354 0.000000 158990.707452 1.123201 1.129327 1.309274 1.392416 0.960019 0.886235 0.000176 0.000219 1.184519 1.204655 0.025000 1.000000 1.916178 1.000000 0.000000 1.328243 88.548903 0.553874 10.000000 0.000000 639.098815 0.000000
6.500000e+01 2202.131688 2602.858470 8222.575944 49.191139 5157.136080 104.277431 8.550000 8.550000 412545.096577 40299.207353 8.550000 68.156293 653.282239 387.962608 0.000000 160820.252143 1.134899 1.141344 1.359201 1.434844 0.956734 0.872678 0.000176 0.000219 1.182147 1.202828 0.025000 1.000000 1.910182 1.000000 0.000000 1.343528 88.293670 0.568796 10.000000 0.000000 645.467491 0.000000
7.000000e+01 2225.139449 2630.481726 8565.231271 50.694268 5139.460281 102.532327 8.550000 8.550000 411646.808421 40231.167491 8.550000 72.001436 652.761092 404.912769 0.000000 162680.998851 1.146756 1.153457 1.415842 1.478689 0.953455 0.858073 0.000176 0.000219 1.179573 1.200797 0.025000 1.000000 1.908658 1.000000 0.000000 1.359073 88.239056 0.586106 10.000000 0.000000 651.914739 0.000000
7.500000e+01 2248.383969 2658.242551 8954.892186 52.243119 5121.813303 100.646476 8.550000 8.550000 410667.526986 40155.250871 8.550000 75.265379 653.410820 422.179936 0.000000 164578.524976 1.158735 1.165630 1.480254 1.523867 0.950181 0.842291 0.000176 0.000219 1.176766 1.198531 0.025000 1.000000 1.910558 1.000000 0.000000 1.374925 88.414626 0.606185 10.000000 0.000000 658.419261 0.000000
8.000000e+01 2271.910911 2686.135025 9398.554961 53.838721 5104.192848 98.602953 8.550000 8.550000 409595.049007 40070.258921 8.550000 78.086984 654.966120 439.845995 0.000000 166519.252328 1.170860 1.177861 1.553592 1.570408 0.946912 0.825189 0.000176 0.000219 1.173693 1.195995 0.025000 1.000000 1.915106 1.000000 0.000000 1.391138 88.832550 0.629368 10.000000 0.000000 664.994438 0.000000
8.500000e+01 2295.891676 2714.446776 9903.591281 55.498163 5086.597051 96.383608 8.550000 8.550000 408415.379308 39974.815986 8.550000 80.568652 657.234624 457.997492 0.000000 168510.640769 1.183219 1.190275 1.637075 1.618812 0.943648 0.806616 0.000176 0.000219 1.170313 1.193146 0.025000 1.000000 1.921739 1.000000 0.000000 1.407775 89.496372 0.656002 10.000000 0.000000 671.686536 0.000000
9.000000e+01 2320.324083 2743.185779 10479.188073 57.223842 5069.023117 93.969219 8.550000 8.550000 407112.488941 39867.345086 8.550000 82.786124 660.077695 476.728482 0.000000 170561.013594 1.195811 1.202877 1.732222 1.669148 0.940387 0.786410 0.000176 0.000219 1.166579 1.189938 0.025000 1.000000 1.930052 1.000000 0.000000 1.424904 90.429206 0.686554 10.000000 0.000000 678.494181 0.000000
9.500000e+01 2235.636875 2772.647123 11135.771945 59.034235 5051.485344 91.340432 8.550000 8.550000 405668.006610 39746.037697 8.550000 84.796039 663.395489 496.140891 0.000000 172679.662108 1.152166 1.215796 1.840756 1.721955 0.937134 0.764411 0.000176 0.000219 1.162440 1.186317 0.025000 1.000000 1.939753 1.000000 0.000000 1.442604 91.018413 0.737320 10.000000 0.000000 652.561560 0.000000
1.000000e+02 2260.781807 2802.745878 11885.278970 60.927214 5033.970642 88.476550 8.550000 8.550000 404060.905650 39608.822916 8.550000 86.641375 667.116895 516.352220 0.000000 174877.490874 1.165125 1.228994 1.964650 1.777171 0.933885 0.740443 0.000176 0.000219 1.157835 1.182222 0.025000 1.000000 1.950634 1.000000 0.000000 1.460965 92.555302 0.778025 10.000000 0.000000 659.532668 0.000000
1.050000e+02 2286.474051 2674.816114 12741.445727 62.900653 5016.470750 85.358269 8.550000 8.550000 402268.561893 39453.469944 8.550000 88.355311 671.191749 537.491682 0.000000 177166.201137 1.178366 1.172898 2.106175 1.834734 0.930638 0.714347 0.000176 0.000219 1.152699 1.177585 0.025000 1.000000 1.962549 1.000000 0.000000 1.480085 93.602011 0.850904 10.000000 0.000000 666.643741 0.000000
1.100000e+02 5266.582858 2532.301381 13720.356581 64.940449 4998.921043 81.898930 8.550000 8.550000 400224.442542 39273.443348 8.550000 89.963934 675.597951 559.833133 0.000000 179579.129190 2.714206 1.110405 2.267990 1.894232 0.927382 0.685396 0.000176 0.000219 1.146842 1.172212 0.025000 1.000000 1.975433 1.000000 0.000000 1.500243 110.219153 0.582827 10.000000 0.000000 1559.490844 0.000000
1.150000e+02 9196.731857 2683.622234 14839.916447 67.089695 4981.555650 77.891202 8.550000 8.550000 397765.519933 39052.773070 8.550000 91.489141 680.388247 584.263159 0.000000 182199.234577 4.739662 1.176759 2.453055 1.956923 0.924161 0.651857 0.000176 0.000219 1.139796 1.165625 0.025000 1.000000 1.989439 1.000000 0.000000 1.522132 132.488860 0.413837 10.000000 0.000000 2737.134205 0.000000
1.200000e+02 13242.539004 2837.988141 16120.208363 69.323729 4964.134665 73.271076 8.550000 8.550000 394817.972493 38784.194949 8.550000 92.950186 685.590728 611.309623 0.000000 185067.668607 6.824724 1.244448 2.664688 2.022087 0.920929 0.613192 0.000176 0.000219 1.131350 1.157609 0.025000 1.000000 2.004651 1.000000 0.000000 1.546096 154.516171 0.332059 10.000000 0.000000 3949.427315 0.000000
1.250000e+02 17407.906587 2993.720270 17584.273890 71.608187 4946.645910 68.084450 8.550000 8.550000 391336.512269 38463.210309 8.550000 94.363629 691.211741 641.265880 0.000000 188208.017935 8.971403 1.312736 2.906700 2.088721 0.917684 0.569786 0.000176 0.000219 1.121373 1.148028 0.025000 1.000000 2.021087 1.000000 0.000000 1.572331 176.448934 0.285420 10.000000 0.000000 5197.550408 0.000000
1.300000e+02 21696.521328 3149.084346 19258.233846 73.925789 4929.076771 62.398320 8.550000 8.550000 387270.066831 38084.739685 8.550000 95.743778 697.262714 674.447735 0.000000 191646.363853 11.181599 1.380863 3.183408 2.156323 0.914425 0.522200 0.000176 0.000219 1.109721 1.136732 0.025000 1.000000 2.038780 1.000000 0.000000 1.601056 198.423476 0.256601 10.000000 0.000000 6482.613975 0.000000
1.350000e+02 26112.055593 3302.236865 21171.572036 76.265314 4911.414149 56.302570 8.550000 8.550000 382561.468915 37643.093892 8.550000 97.103339 703.764481 711.219058 0.000000 195411.813785 13.457205 1.448019 3.499685 2.224564 0.911148 0.471185 0.000176 0.000219 1.096229 1.123550 0.025000 1.000000 2.057791 1.000000 0.000000 1.632513 220.575535 0.238204 10.000000 0.000000 7805.722379 0.000000
1.400000e+02 27601.548417 3452.493833 23357.462660 78.640533 4893.642615 49.984470 8.550000 8.550000 377209.179883 37138.036545 8.550000 98.453875 710.727113 751.792902 0.000000 199506.664075 14.224836 1.513907 3.861015 2.293846 0.907852 0.418310 0.000176 0.000219 1.080892 1.108475 0.025000 1.000000 2.078149 1.000000 0.000000 1.666722 230.037283 0.248837 10.000000 0.000000 8251.571230 0.000000
1.450000e+02 28359.187151 3468.635130 25853.270077 81.093491 4875.777128 43.691476 8.550000 8.550000 371271.888795 36575.211929 8.550000 99.805127 718.102322 795.811915 0.000000 203896.541831 14.615295 1.520984 4.273574 2.365396 0.904537 0.365646 0.000176 0.000219 1.063878 1.091676 0.025000 1.000000 2.099714 1.000000 0.000000 1.703396 236.417566 0.268647 10.000000 0.000000 8477.981508 0.000000
1.500000e+02 29138.484514 3483.548521 28700.865487 83.625373 4857.835903 37.512394 8.550000 8.550000 364678.843861 35947.563224 8.550000 101.165425 725.913148 843.646178 0.000000 208613.350238 15.016917 1.527524 4.744285 2.439248 0.901209 0.313934 0.000176 0.000219 1.044986 1.072943 0.025000 1.000000 2.122553 1.000000 0.000000 1.742802 243.664508 0.290895 10.000000 0.000000 8710.861541 0.000000
1.550000e+02 29939.984184 3497.118564 31946.824491 79.977893 4839.808806 31.539600 8.550000 8.550000 357346.544107 35246.777162 8.550000 102.543161 734.216085 895.873630 0.000000 213698.552703 15.429981 1.533474 5.280846 2.332855 0.897864 0.263949 0.000176 0.000219 1.023975 1.052026 0.025000 1.000000 2.146831 1.000000 0.000000 1.785284 271.560120 0.315823 10.000000 0.000000 8952.250608 0.000000
